source_id,p,p_er,theta,theta_er,q,q_er,u,u_er,Rmag,exposure,airmass,N0,N1,N2,N3,sN0,sN1,sN2,sN3,bgr0,bgr1,bgr2,bgr3,inner_aperture0,inner_aperture1,inner_aperture2,inner_aperture3,apert0,apert1,apert2,apert3
IT_1629-0138403,0.00946,0.00134,-0.3805,0.0716,0.00685,0.00132,-0.00652,0.00135,14.82,372,1.309,577456,568244,585891,576643,1099,1090,1087,1085,1216,1195.1,1197.6,1209.4,14.62,14.62,14.35,14.35,3.7,3.7,3.63,3.63
IT_1620-0139790,0.01882,0.00209,-0.4055,0.056,0.01297,0.00199,-0.01364,0.00218,15.31,606,1.252,446951,433607,438743,426567,1299,1407,1157,1275,1768.2,2207,1636,2182.1,16.84,16.84,15.04,15.04,4.22,4.22,3.77,3.77
IT_1610-0129561,0.01614,0.00187,-0.5178,0.0586,0.00823,0.00175,-0.01388,0.00191,13.81,150,1.355,400870,388661,382754,375672,1072,1065,934,944,1211.7,1209.3,1178.1,1244,15.87,15.87,13.18,13.18,4.1,4.1,3.4,3.4
IT_1613-0127483,0.01821,0.00122,-0.4386,0.0335,0.01164,0.00117,-0.01401,0.00125,13.29,102,1.368,622769,603741,622938,607252,1080,1089,1028,1005,1220.9,1309.9,1311.8,1220,13.61,13.61,11.82,11.82,3.84,3.84,3.33,3.33
IT_1625-0142892,0.02649,0.00271,-0.4506,0.0515,0.01644,0.00269,-0.02077,0.00272,14.88,393,1.333,329990,315598,321671,310577,1238,1246,1206,1201,1227.5,1261.9,1247.5,1245.7,19.61,19.61,18.94,18.94,3.78,3.78,3.65,3.65
IT_1626-0144748,0.02308,0.00221,-0.7485,0.0482,0.0017,0.00213,-0.02302,0.00221,15.29,594,1.413,428920,408374,426261,423874,1308,1311,1281,1274,1289.4,1318.8,1310.3,1293.9,19.73,19.73,19.13,19.13,3.8,3.8,3.68,3.68
IT_1622-0144739,0.01785,0.00201,-0.4678,0.0568,0.01059,0.00197,-0.01437,0.00203,15.28,588,1.432,413860,400916,398321,389110,1154,1186,1034,1155,1669.5,1832.5,1445.1,2037.4,15.03,15.03,13.89,13.89,3.8,3.8,3.51,3.51
IT_1627-0145115,0.01276,0.00213,-0.534,0.0849,0.00615,0.00192,-0.01118,0.00218,14.93,456,1.261626223,505882,493183,494737,487607,1606,1480,1303,1364,3147.8,2578.1,2656.6,3033.1,16.35,16.35,13.71,13.71,4.31,4.31,3.62,3.62
IT_1614-0127135,0.00419,0.00051,-0.6,0.0612,0.00152,0.00052,-0.00391,0.00051,10.16,42,1.249,2472417,2445696,2410446,2397818,1761,1766,1766,1758,1159.4,1247.6,1218.5,1188.6,14.92,14.92,15.44,15.44,3.59,3.59,3.72,3.72
IT_1619-0138443,0.02059,0.00181,-0.5063,0.0443,0.0109,0.00179,-0.01746,0.00182,15.18,531,1.324,459449,442323,445532,434955,1175,1149,1077,1151,1522.5,1452.1,1318.7,1643,15.73,15.73,14.93,14.93,4.06,4.06,3.85,3.85
